Female,Number recovered,Country,Male,Number of cases currently hospitalised,Case fatality ratio (%),Number of deaths,Date of last report,Date for which cumulative number of cases is current,Number of new cases since last WHO update,Local transmission,Date onset first probable case,Cumulative number of cases,report date,Number of imported cases,percentage of imported cases,Number of HCW affected,percentage of HCW affected,median age,minimum age,maximum age
,0.0,South Africa,,,,0.0,,,1.0,No,,1.0,2003-04-11,,,,,,,
,0.0,Spain,,,,0.0,,,0.0,No,,1.0,2003-04-11,,,,,,,
,1.0,Switzerland,,,,0.0,,,0.0,No,,1.0,2003-04-11,,,,,,,
,5.0,Thailand,,,,2.0,,,0.0,No,,7.0,2003-04-11,,,,,,,
,3.0,United Kingdom,,,,0.0,,,0.0,No,,5.0,2003-04-11,,,,,,,
,,United States,,,,0.0,,,12.0,No,,166.0,2003-04-11,,,,,,,
,43.0,Viet Nam,,,,4.0,,,0.0,Yes,,62.0,2003-04-11,,,,,,,
,1373.0,Total,,,,116.0,,,109.0,,,2890.0,2003-04-11,,,,,,,
,0.0,Brazil,,,,0.0,,,0.0,No,,2.0,2003-04-12,,,,,,,
,26.0,Canada,,,,10.0,,,3.0,Yes,,101.0,2003-04-12,,,,,,,
,1037.0,China,,,,58.0,,,0.0,Yes,,1309.0,2003-04-12,,,,,,,
,215.0,Hong Kong,,,,35.0,,,49.0,Yes,,1108.0,2003-04-12,,,,,,,
,7.0,Taiwan,,,,0.0,,,2.0,Yes,,23.0,2003-04-12,,,,,,,
,1.0,France,,,,0.0,,,0.0,No,,5.0,2003-04-12,,,,,,,
,4.0,Germany,,,,0.0,,,0.0,No,,6.0,2003-04-12,,,,,,,
,2.0,Italy,,,,0.0,,,0.0,No,,3.0,2003-04-12,,,,,,,
,0.0,Japan,,,,0.0,,,0.0,No,,4.0,2003-04-12,,,,,,,
,0.0,Kuwait,,,,0.0,,,0.0,No,,1.0,2003-04-12,,,,,,,
,0.0,Malaysia,,,,1.0,,,0.0,No,,4.0,2003-04-12,,,,,,,
,1.0,Republic of Ireland,,,,0.0,,,0.0,No,,1.0,2003-04-12,,,,,,,
,,Romania,,,,0.0,,,0.0,No,,1.0,2003-04-12,,,,,,,
,77.0,Singapore,,,,9.0,,,14.0,Yes,,147.0,2003-04-12,,,,,,,
,0.0,South Africa,,,,0.0,,,0.0,No,,1.0,2003-04-12,,,,,,,
,0.0,Spain,,,,0.0,,,0.0,No,,1.0,2003-04-12,,,,,,,
,1.0,Switzerland,,,,0.0,,,0.0,No,,1.0,2003-04-12,,,,,,,
,5.0,Thailand,,,,2.0,,,1.0,No,,8.0,2003-04-12,,,,,,,
,3.0,United Kingdom,,,,0.0,,,1.0,Yes,,6.0,2003-04-12,,,,,,,
,,United States,,,,0.0,,,0.0,Yes,,166.0,2003-04-12,,,,,,,
,46.0,Viet Nam,,,,4.0,,,0.0,Yes,,62.0,2003-04-12,,,,,,,
,1425.0,Total,,,,119.0,,,70.0,,,2960.0,2003-04-12,,,,,,,
,0.0,Brazil,,,,0.0,,,0.0,No,,2.0,2003-04-14,,,,,,,
,27.0,Canada,,,,13.0,,,-1.0,Yes,,100.0,2003-04-14,,,,,,,
,1088.0,China,,,,64.0,,,109.0,Yes,,1418.0,2003-04-14,,,,,,,
,229.0,Hong Kong,,,,47.0,,,82.0,Yes,,1190.0,2003-04-14,,,,,,,
,7.0,Taiwan,,,,0.0,,,0.0,Yes,,23.0,2003-04-14,,,,,,,
,1.0,France,,,,0.0,,,0.0,No,,5.0,2003-04-14,,,,,,,
,4.0,Germany,,,,0.0,,,0.0,No,,6.0,2003-04-14,,,,,,,
,0.0,Indonesia,,,,0.0,,,1.0,No,,1.0,2003-04-14,,,,,,,
,2.0,Italy,,,,0.0,,,0.0,No,,3.0,2003-04-14,,,,,,,
,0.0,Kuwait,,,,0.0,,,0.0,No,,1.0,2003-04-14,,,,,,,
,0.0,Malaysia,,,,1.0,,,0.0,No,,4.0,2003-04-14,,,,,,,
,1.0,Philippines,,,,0.0,,,1.0,No,,1.0,2003-04-14,,,,,,,
,1.0,Republic of Ireland,,,,0.0,,,0.0,No,,1.0,2003-04-14,,,,,,,
,,Romania,,,,0.0,,,0.0,No,,1.0,2003-04-14,,,,,,,
,84.0,Singapore,,,,12.0,,,11.0,Yes,,158.0,2003-04-14,,,,,,,
,0.0,South Africa,,,,0.0,,,0.0,No,,1.0,2003-04-14,,,,,,,
,0.0,Spain,,,,0.0,,,0.0,No,,1.0,2003-04-14,,,,,,,
,0.0,Sweden,,,,0.0,,,1.0,No,,1.0,2003-04-14,,,,,,,
,1.0,Switzerland,,,,0.0,,,0.0,No,,1.0,2003-04-14,,,,,,,
,5.0,Thailand,,,,2.0,,,0.0,No,,8.0,2003-04-14,,,,,,,
,3.0,United Kingdom,,,,0.0,,,0.0,Yes,,6.0,2003-04-14,,,,,,,
,,United States,,,,0.0,,,8.0,Yes,,174.0,2003-04-14,,,,,,,
,46.0,Viet Nam,,,,5.0,,,1.0,Yes,,63.0,2003-04-14,,,,,,,
,1499.0,Total,,,,144.0,,,213.0,,,3169.0,2003-04-14,,,,,,,
,0.0,Brazil,,,,0.0,,,0.0,No,,2.0,2003-04-15,,,,,,,
,27.0,Canada,,,,13.0,,,0.0,Yes,,100.0,2003-04-15,,,,,,,
,1088.0,China,,,,64.0,,,0.0,Yes,,1418.0,2003-04-15,,,,,,,
,243.0,Hong Kong,,,,56.0,,,42.0,Yes,,1232.0,2003-04-15,,,,,,,
,7.0,Taiwan,,,,0.0,,,0.0,Yes,,23.0,2003-04-15,,,,,,,
,1.0,France,,,,0.0,,,0.0,No,,5.0,2003-04-15,,,,,,,
,4.0,Germany,,,,0.0,,,0.0,No,,6.0,2003-04-15,,,,,,,
,0.0,Indonesia,,,,0.0,,,0.0,No,,1.0,2003-04-15,,,,,,,
,2.0,Italy,,,,0.0,,,0.0,No,,3.0,2003-04-15,,,,,,,
,0.0,Japan,,,,0.0,,,1.0,No,,1.0,2003-04-15,,,,,,,
,0.0,Kuwait,,,,0.0,,,0.0,No,,1.0,2003-04-15,,,,,,,
,0.0,Malaysia,,,,1.0,,,0.0,No,,4.0,2003-04-15,,,,,,,
,1.0,Philippines,,,,0.0,,,0.0,No,,1.0,2003-04-15,,,,,,,
,1.0,Republic of Ireland,,,,0.0,,,0.0,No,,1.0,2003-04-15,,,,,,,
,1.0,Romania,,,,0.0,,,0.0,No,,1.0,2003-04-15,,,,,,,
,85.0,Singapore,,,,13.0,,,4.0,Yes,,162.0,2003-04-15,,,,,,,
,0.0,South Africa,,,,0.0,,,0.0,No,,1.0,2003-04-15,,,,,,,
,0.0,Spain,,,,0.0,,,0.0,No,,1.0,2003-04-15,,,,,,,
,0.0,Sweden,,,,0.0,,,0.0,No,,1.0,2003-04-15,,,,,,,
,1.0,Switzerland,,,,0.0,,,0.0,No,,1.0,2003-04-15,,,,,,,
,5.0,Thailand,,,,2.0,,,0.0,No,,8.0,2003-04-15,,,,,,,
,3.0,United Kingdom,,,,0.0,,,0.0,Yes,,6.0,2003-04-15,,,,,,,
,,United States,,,,0.0,,,19.0,Yes,,193.0,2003-04-15,,,,,,,
,46.0,Viet Nam,,,,5.0,,,0.0,Yes,,63.0,2003-04-15,,,,,,,
,1515.0,Total,,,,154.0,,,66.0,,,3235.0,2003-04-15,,,,,,,
,0.0,Brazil,,,,0.0,,,0.0,No,,2.0,2003-04-16,,,,,,,
,37.0,Canada,,,,13.0,,,3.0,Yes,,103.0,2003-04-16,,,,,,,
,1094.0,China,,,,64.0,,,14.0,Yes,,1432.0,2003-04-16,,,,,,,
,257.0,Hong Kong,,,,61.0,,,36.0,Yes,,1268.0,2003-04-16,,,,,,,
,10.0,Taiwan,,,,0.0,,,4.0,Yes,,27.0,2003-04-16,,,,,,,
,1.0,France,,,,0.0,,,0.0,No,,5.0,2003-04-16,,,,,,,
,4.0,Germany,,,,0.0,,,0.0,No,,6.0,2003-04-16,,,,,,,
,0.0,Indonesia,,,,0.0,,,0.0,No,,1.0,2003-04-16,,,,,,,
,2.0,Italy,,,,0.0,,,0.0,No,,3.0,2003-04-16,,,,,,,
,0.0,Japan,,,,0.0,,,0.0,No,,1.0,2003-04-16,,,,,,,
,0.0,Kuwait,,,,0.0,,,0.0,No,,1.0,2003-04-16,,,,,,,
,0.0,Malaysia,,,,1.0,,,1.0,No,,5.0,2003-04-16,,,,,,,
,1.0,Philippines,,,,0.0,,,0.0,No,,1.0,2003-04-16,,,,,,,
,1.0,Republic of Ireland,,,,0.0,,,0.0,No,,1.0,2003-04-16,,,,,,,
,1.0,Romania,,,,0.0,,,0.0,No,,1.0,2003-04-16,,,,,,,
,85.0,Singapore,,,,13.0,,,0.0,Yes,,162.0,2003-04-16,,,,,,,
,0.0,South Africa,,,,0.0,,,0.0,No,,1.0,2003-04-16,,,,,,,
,0.0,Spain,,,,0.0,,,0.0,No,,1.0,2003-04-16,,,,,,,
,0.0,Sweden,,,,0.0,,,0.0,No,,1.0,2003-04-16,,,,,,,
,1.0,Switzerland,,,,0.0,,,0.0,No,,1.0,2003-04-16,,,,,,,
,5.0,Thailand,,,,2.0,,,0.0,No,,8.0,2003-04-16,,,,,,,
,3.0,United Kingdom,,,,0.0,,,0.0,Yes,,6.0,2003-04-16,,,,,,,
,,United States,,,,0.0,,,0.0,Yes,,193.0,2003-04-16,,,,,,,
,46.0,Viet Nam,,,,5.0,,,0.0,Yes,,63.0,2003-04-16,,,,,,,
,1548.0,Total,,,,159.0,,,58.0,,,3293.0,2003-04-16,,,,,,,
,3.0,Australia,,,,0.0,2003-04-17,,3.0,No,,3.0,2003-04-17,,,,,,,
,0.0,Brazil,,,,0.0,2003-04-16,,0.0,No,,2.0,2003-04-17,,,,,,,
,46.0,Canada,,,,12.0,2003-04-17,,23.0,Yes,,126.0,2003-04-17,,,,,,,
,1107.0,China,,,,65.0,2003-04-17,,25.0,Yes,,1457.0,2003-04-17,,,,,,,
,272.0,Hong Kong,,,,65.0,2003-04-17,,29.0,Yes,,1297.0,2003-04-17,,,,,,,
,10.0,Taiwan,,,,0.0,2003-04-16,,0.0,Yes,,27.0,2003-04-17,,,,,,,
,1.0,France,,,,0.0,2003-04-17,,0.0,No,,5.0,2003-04-17,,,,,,,
,4.0,Germany,,,,0.0,2003-04-17,,0.0,No,,6.0,2003-04-17,,,,,,,
,0.0,India,,,,0.0,2003-04-17,,1.0,No,,1.0,2003-04-17,,,,,,,
,0.0,Indonesia,,,,0.0,2003-04-12,,0.0,No,,1.0,2003-04-17,,,,,,,
,2.0,Italy,,,,0.0,2003-04-17,,0.0,No,,3.0,2003-04-17,,,,,,,
,0.0,Japan,,,,0.0,2003-04-17,,1.0,No,,2.0,2003-04-17,,,,,,,
,0.0,Kuwait,,,,0.0,2003-04-09,,0.0,No,,1.0,2003-04-17,,,,,,,
,0.0,Malaysia,,,,1.0,2003-04-16,,0.0,No,,5.0,2003-04-17,,,,,,,
,3.0,Mongolia,,,,0.0,2003-04-17,,3.0,No,,3.0,2003-04-17,,,,,,,
,1.0,Philippines,,,,0.0,2003-04-14,,0.0,No,,1.0,2003-04-17,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-04-17,,0.0,No,,1.0,2003-04-17,,,,,,,
,1.0,Romania,,,,0.0,2003-04-17,,0.0,No,,1.0,2003-04-17,,,,,,,
,91.0,Singapore,,,,15.0,2003-04-17,,5.0,Yes,,167.0,2003-04-17,,,,,,,
,0.0,South Africa,,,,0.0,2003-04-09,,0.0,No,,1.0,2003-04-17,,,,,,,
,0.0,Spain,,,,0.0,2003-04-17,,0.0,No,,1.0,2003-04-17,,,,,,,
,0.0,Sweden,,,,0.0,2003-04-17,,0.0,No,,1.0,2003-04-17,,,,,,,
,1.0,Switzerland,,,,0.0,2003-04-17,,0.0,No,,1.0,2003-04-17,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-17,,0.0,No,,8.0,2003-04-17,,,,,,,
,3.0,United Kingdom,,,,0.0,2003-04-17,,0.0,Yes,,6.0,2003-04-17,,,,,,,
,,United States,,,,0.0,2003-04-16,,6.0,Yes,,199.0,2003-04-17,,,,,,,
,46.0,Viet Nam,,,,5.0,2003-04-17,,0.0,Yes,,63.0,2003-04-17,,,,,,,
,1597.0,Total,,,,165.0,,,96.0,,,3389.0,2003-04-17,,,,,,,
,3.0,Australia,,,,0.0,2003-04-17,,0.0,No,,3.0,2003-04-18,,,,,,,
,0.0,Brazil,,,,0.0,2003-04-16,,0.0,No,,2.0,2003-04-18,,,,,,,
,54.0,Canada,,,,12.0,2003-04-18,,6.0,Yes,,132.0,2003-04-18,,,,,,,
,1140.0,China,,,,65.0,2003-04-19,,30.0,Yes,,1512.0,2003-04-18,,,,,,,
,363.0,Hong Kong,,,,81.0,2003-04-19,,31.0,Yes,,1358.0,2003-04-18,,,,,,,
,17.0,Taiwan,,,,0.0,2003-04-18,,0.0,Yes,,29.0,2003-04-18,,,,,,,
,1.0,France,,,,0.0,2003-04-18,,0.0,No,,5.0,2003-04-18,,,,,,,
,4.0,Germany,,,,0.0,2003-04-18,,0.0,No,,6.0,2003-04-18,,,,,,,
,1.0,India,,,,0.0,2003-04-18,,0.0,No,,1.0,2003-04-18,,,,,,,
,0.0,Indonesia,,,,0.0,2003-04-19,,0.0,No,,1.0,2003-04-18,,,,,,,
,2.0,Italy,,,,0.0,2003-04-18,,0.0,No,,3.0,2003-04-18,,,,,,,
,0.0,Japan,,,,0.0,2003-04-18,,0.0,No,,4.0,2003-04-18,,,,,,,
,0.0,Kuwait,,,,0.0,2003-04-09,,0.0,No,,1.0,2003-04-18,,,,,,,
,0.0,Malaysia,,,,1.0,2003-04-16,,0.0,No,,5.0,2003-04-18,,,,,,,
,3.0,Mongolia,,,,0.0,2003-04-17,,0.0,No,,3.0,2003-04-18,,,,,,,
,1.0,Philippines,,,,0.0,2003-04-14,,0.0,No,,1.0,2003-04-18,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-04-18,,0.0,No,,1.0,2003-04-18,,,,,,,
,1.0,Romania,,,,0.0,2003-04-18,,0.0,No,,1.0,2003-04-18,,,,,,,
,100.0,Singapore,,,,16.0,2003-04-18,,5.0,Yes,,177.0,2003-04-18,,,,,,,
,0.0,South Africa,,,,0.0,2003-04-09,,0.0,No,,1.0,2003-04-18,,,,,,,
,0.0,Spain,,,,0.0,2003-04-18,,0.0,No,,1.0,2003-04-18,,,,,,,
,0.0,Sweden,,,,0.0,2003-04-19,,2.0,No,,3.0,2003-04-18,,,,,,,
,1.0,Switzerland,,,,0.0,2003-04-18,,0.0,No,,1.0,2003-04-18,,,,,,,
,6.0,Thailand,,,,2.0,2003-04-18,,0.0,No,,7.0,2003-04-18,,,,,,,
,5.0,United Kingdom,,,,0.0,2003-04-19,,0.0,Yes,,6.0,2003-04-18,,,,,,,
,,United States,,,,0.0,2003-04-18,,12.0,Yes,,220.0,2003-04-18,,,,,,,
,46.0,Viet Nam,,,,5.0,2003-04-17,,0.0,Yes,,63.0,2003-04-18,,,,,,,
,1749.0,Total,,,,182.0,,,86.0,,,3547.0,2003-04-18,,,,,,,
,3.0,Australia,,,,0.0,2003-04-17,,0.0,No,,3.0,2003-04-19,,,,,,,
,0.0,Brazil,,,,0.0,2003-04-16,,0.0,No,,2.0,2003-04-19,,,,,,,
,54.0,Canada,,,,12.0,2003-04-19,,6.0,Yes,,132.0,2003-04-19,,,,,,,
,1140.0,China,,,,65.0,2003-04-19,,30.0,Yes,,1512.0,2003-04-19,,,,,,,
,363.0,Hong Kong,,,,81.0,2003-04-19,,31.0,Yes,,1358.0,2003-04-19,,,,,,,
,17.0,Taiwan,,,,0.0,2003-04-18,,0.0,Yes,,29.0,2003-04-19,,,,,,,
,1.0,France,,,,0.0,2003-04-18,,0.0,No,,5.0,2003-04-19,,,,,,,
,4.0,Germany,,,,0.0,2003-04-18,,0.0,No,,6.0,2003-04-19,,,,,,,
,1.0,India,,,,0.0,2003-04-18,,0.0,No,,1.0,2003-04-19,,,,,,,
,0.0,Indonesia,,,,0.0,2003-04-18,,0.0,No,,1.0,2003-04-19,,,,,,,
,2.0,Italy,,,,0.0,2003-04-18,,0.0,No,,3.0,2003-04-19,,,,,,,
,0.0,Japan,,,,0.0,2003-04-18,,0.0,No,,4.0,2003-04-19,,,,,,,
,0.0,Kuwait,,,,0.0,2003-04-09,,0.0,No,,1.0,2003-04-19,,,,,,,
,0.0,Malaysia,,,,1.0,2003-04-16,,0.0,No,,5.0,2003-04-19,,,,,,,
,3.0,Mongolia,,,,0.0,2003-04-17,,0.0,No,,3.0,2003-04-19,,,,,,,
,1.0,Philippines,,,,0.0,2003-04-14,,0.0,No,,1.0,2003-04-19,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-04-18,,0.0,No,,1.0,2003-04-19,,,,,,,
,1.0,Romania,,,,0.0,2003-04-18,,0.0,No,,1.0,2003-04-19,,,,,,,
,100.0,Singapore,,,,16.0,2003-04-18,,5.0,Yes,,177.0,2003-04-19,,,,,,,
,0.0,South Africa,,,,0.0,2003-04-09,,0.0,No,,1.0,2003-04-19,,,,,,,
,0.0,Spain,,,,0.0,2003-04-18,,0.0,No,,1.0,2003-04-19,,,,,,,
,0.0,Sweden,,,,0.0,2003-04-19,,2.0,No,,3.0,2003-04-19,,,,,,,
,1.0,Switzerland,,,,0.0,2003-04-18,,0.0,No,,1.0,2003-04-19,,,,,,,
,6.0,Thailand,,,,2.0,2003-04-18,,0.0,No,,7.0,2003-04-19,,,,,,,
,5.0,United Kingdom,,,,0.0,2003-04-19,,0.0,Yes,,6.0,2003-04-19,,,,,,,
,,United States,,,,0.0,2003-04-18,,12.0,Yes,,220.0,2003-04-19,,,,,,,
,46.0,Viet Nam,,,,5.0,2003-04-17,,0.0,Yes,,63.0,2003-04-19,,,,,,,
,1749.0,Total,,,,182.0,,,86.0,,,3547.0,2003-04-19,,,,,,,
,3.0,Australia,,,,0.0,2003-04-17,,0.0,No,,3.0,2003-04-21,,,,,,,
,0.0,Brazil,,,,0.0,2003-04-16,,0.0,No,,2.0,2003-04-21,,,,,,,
,54.0,Canada,,,,12.0,2003-04-19,,0.0,Yes,,132.0,2003-04-21,,,,,,,
,1187.0,China,,,,86.0,2003-04-21,,447.0,Yes,,1959.0,2003-04-21,,,,,,,
,436.0,Hong Kong,,,,94.0,2003-04-21,,44.0,Yes,,1402.0,2003-04-21,,,,,,,
,17.0,Taiwan,,,,0.0,2003-04-18,,0.0,Yes,,29.0,2003-04-21,,,,,,,
,1.0,France,,,,0.0,2003-04-21,,0.0,No,,5.0,2003-04-21,,,,,,,
,4.0,Germany,,,,0.0,2003-04-21,,0.0,No,,6.0,2003-04-21,,,,,,,
,1.0,India,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-21,,,,,,,
,0.0,Indonesia,,,,0.0,2003-04-19,,0.0,No,,1.0,2003-04-21,,,,,,,
,2.0,Italy,,,,0.0,2003-04-21,,0.0,No,,3.0,2003-04-21,,,,,,,
,0.0,Japan,,,,0.0,2003-04-21,,1.0,No,,5.0,2003-04-21,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-20,,0.0,No,,1.0,2003-04-21,,,,,,,
,0.0,Malaysia,,,,1.0,2003-04-21,,1.0,No,,6.0,2003-04-21,,,,,,,
,3.0,Mongolia,,,,0.0,2003-04-17,,0.0,No,,3.0,2003-04-21,,,,,,,
,1.0,Philippines,,,,1.0,2003-04-21,,1.0,No,,2.0,2003-04-21,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-21,,,,,,,
,1.0,Romania,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-21,,,,,,,
,104.0,Singapore,,,,16.0,2003-04-20,,1.0,Yes,,178.0,2003-04-21,,,,,,,
,0.0,South Africa,,,,0.0,2003-04-09,,0.0,No,,1.0,2003-04-21,,,,,,,
,0.0,Spain,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-21,,,,,,,
,0.0,Sweden,,,,0.0,2003-04-21,,0.0,No,,3.0,2003-04-21,,,,,,,
,1.0,Switzerland,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-21,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-21,,0.0,No,,7.0,2003-04-21,,,,,,,
,5.0,United Kingdom,,,,0.0,2003-04-21,,0.0,Yes,,6.0,2003-04-21,,,,,,,
,,United States,,,,0.0,2003-04-21,,,Yes,,39.0,2003-04-21,,,,,,,
,46.0,Viet Nam,,,,5.0,2003-04-17,,0.0,Yes,,63.0,2003-04-21,,,,,,,
,1873.0,Total,,,,217.0,,,495.0,,,3861.0,2003-04-21,,,,,,,
,3.0,Australia,,,,0.0,2003-04-17,,0.0,No,,3.0,2003-04-22,,,,,,,
,0.0,Brazil,,,,0.0,2003-04-16,,0.0,No,,2.0,2003-04-22,,,,,,,
,65.0,Canada,,,,13.0,2003-04-22,,7.0,Yes,,139.0,2003-04-22,,,,,,,
,1201.0,China,,,,92.0,2003-04-22,,42.0,Yes,,2001.0,2003-04-22,,,,,,,
,461.0,Hong Kong,,,,99.0,2003-04-22,,32.0,Yes,,1434.0,2003-04-22,,,,,,,
,21.0,Taiwan,,,,0.0,2003-04-22,,0.0,Yes,,29.0,2003-04-22,,,,,,,
,1.0,France,,,,0.0,2003-04-21,,0.0,No,,5.0,2003-04-22,,,,,,,
,6.0,Germany,,,,0.0,2003-04-22,,1.0,No,,7.0,2003-04-22,,,,,,,
,1.0,India,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-22,,,,,,,
,0.0,Indonesia,,,,0.0,2003-04-19,,0.0,No,,1.0,2003-04-22,,,,,,,
,2.0,Italy,,,,0.0,2003-04-22,,0.0,No,,3.0,2003-04-22,,,,,,,
,0.0,Japan,,,,0.0,2003-04-22,,-3.0,No,,2.0,2003-04-22,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-20,,0.0,No,,1.0,2003-04-22,,,,,,,
,0.0,Malaysia,,,,1.0,2003-04-22,,0.0,No,,6.0,2003-04-22,,,,,,,
,3.0,Mongolia,,,,0.0,2003-04-17,,0.0,No,,3.0,2003-04-22,,,,,,,
,1.0,Philippines,,,,1.0,2003-04-21,,0.0,No,,2.0,2003-04-22,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-22,,,,,,,
,1.0,Romania,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-22,,,,,,,
,110.0,Singapore,,,,16.0,2003-04-22,,2.0,Yes,,186.0,2003-04-22,,,,,,,
,0.0,South Africa,,,,0.0,2003-04-09,,0.0,No,,1.0,2003-04-22,,,,,,,
,0.0,Spain,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-22,,,,,,,
,0.0,Sweden,,,,0.0,2003-04-21,,0.0,No,,3.0,2003-04-22,,,,,,,
,1.0,Switzerland,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-22,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-22,,0.0,No,,7.0,2003-04-22,,,,,,,
,5.0,United Kingdom,,,,0.0,2003-04-22,,0.0,Yes,,6.0,2003-04-22,,,,,,,
,,United States,,,,0.0,2003-04-21,,-1.0,Yes,,38.0,2003-04-22,,,,,,,
,46.0,Viet Nam,,,,5.0,2003-04-17,,0.0,Yes,,63.0,2003-04-22,,,,,,,
,1935.0,Total,,,,229.0,,,80.0,,,3947.0,2003-04-22,,,,,,,
,3.0,Australia,,,,0.0,2003-04-23,,1.0,No,,4.0,2003-04-23,,,,,,,
,0.0,Brazil,,,,0.0,2003-04-16,,0.0,No,,2.0,2003-04-23,,,,,,,
,65.0,Canada,,,,13.0,2003-04-23,,1.0,Yes,,140.0,2003-04-23,,,,,,,
,1231.0,China,,,,106.0,2003-04-23,,304.0,Yes,,2305.0,2003-04-23,,,,,,,
,522.0,Hong Kong,,,,105.0,2003-04-23,,24.0,Yes,,1458.0,2003-04-23,,,,,,,
,21.0,Taiwan,,,,0.0,2003-04-23,,8.0,Yes,,37.0,2003-04-23,,,,,,,
,1.0,France,,,,0.0,2003-04-21,,0.0,No,,5.0,2003-04-23,,,,,,,
,6.0,Germany,,,,0.0,2003-04-23,,0.0,No,,7.0,2003-04-23,,,,,,,
,1.0,India,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-23,,,,,,,
,0.0,Indonesia,,,,0.0,2003-04-19,,0.0,No,,1.0,2003-04-23,,,,,,,
,2.0,Italy,,,,0.0,2003-04-23,,0.0,No,,3.0,2003-04-23,,,,,,,
,0.0,Japan,,,,0.0,2003-04-23,,0.0,No,,2.0,2003-04-23,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-20,,0.0,No,,1.0,2003-04-23,,,,,,,
,2.0,Malaysia,,,,2.0,2003-04-23,,-1.0,No,,5.0,2003-04-23,,,,,,,
,3.0,Mongolia,,,,0.0,2003-04-17,,0.0,No,,3.0,2003-04-23,,,,,,,
,1.0,Philippines,,,,1.0,2003-04-21,,0.0,No,,2.0,2003-04-23,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-23,,,,,,,
,1.0,Romania,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-23,,,,,,,
,114.0,Singapore,,,,17.0,2003-04-23,,3.0,Yes,,189.0,2003-04-23,,,,,,,
,0.0,South Africa,,,,0.0,2003-04-09,,0.0,No,,1.0,2003-04-23,,,,,,,
,0.0,Spain,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-23,,,,,,,
,0.0,Sweden,,,,0.0,2003-04-21,,0.0,No,,3.0,2003-04-23,,,,,,,
,1.0,Switzerland,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-23,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-22,,0.0,No,,7.0,2003-04-23,,,,,,,
,5.0,United Kingdom,,,,0.0,2003-04-22,,0.0,Yes,,6.0,2003-04-23,,,,,,,
,,United States,,,,0.0,2003-04-22,,1.0,Yes,,39.0,2003-04-23,,,,,,,
,46.0,Viet Nam,,,,5.0,2003-04-17,,0.0,Yes,,63.0,2003-04-23,,,,,,,
,2032.0,Total,,,,251.0,,,341.0,,,4288.0,2003-04-23,,,,,,,
,3.0,Australia,,,,0.0,2003-04-23,,0.0,No,,4.0,2003-04-24,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-24,,0.0,No,,2.0,2003-04-24,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,,1.0,No,,1.0,2003-04-24,,,,,,,
,67.0,Canada,,,,15.0,2003-04-24,,0.0,Yes,,140.0,2003-04-24,,,,,,,
,1254.0,China,,,,110.0,2003-04-24,,117.0,Yes,,2422.0,2003-04-24,,,,,,,
,567.0,Hong Kong,,,,109.0,2003-04-24,,30.0,Yes,,1488.0,2003-04-24,,,,,,,
,21.0,Taiwan,,,,0.0,2003-04-23,,0.0,Yes,,37.0,2003-04-24,,,,,,,
,1.0,France,,,,0.0,2003-04-21,,0.0,No,,5.0,2003-04-24,,,,,,,
,6.0,Germany,,,,0.0,2003-04-23,,0.0,No,,7.0,2003-04-24,,,,,,,
,1.0,India,,,,0.0,2003-04-21,,0.0,No,,1.0,2003-04-24,,,,,,,
,1.0,Indonesia,,,,0.0,2003-04-23,,0.0,No,,1.0,2003-04-24,,,,,,,
,3.0,Italy,,,,0.0,2003-04-24,,1.0,No,,4.0,2003-04-24,,,,,,,
,0.0,Japan,,,,0.0,2003-04-24,,0.0,No,,2.0,2003-04-24,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-20,,0.0,No,,1.0,2003-04-24,,,,,,,
,2.0,Malaysia,,,,2.0,2003-04-24,,0.0,No,,5.0,2003-04-24,,,,,,,
